id,type,title,year,picture,credits,description
1,pop,Premier bug rencontré,1945,http://images.computerhistory.org/timeline/timeline_popularculture_1945.hopper.jpg,Image from the Computer History Museum timeline,Un bug (mot anglais \emph{bug}) ou bogue est un défaut de conception d'un programme à l'origine d'un dysfonctionnement. Le terme a été utilisé la première fois en septembre 1945 par Grace Hopper quand un papillon avait bloqué son ordinateur Harvard Mark II.
2,pop,Les trois lois de la robotique,1941,http://images.computerhistory.org/timeline/timeline_ai.robotics_1941_liar.jpg,Image from the Computer History Museum timeline,"Les \emph{trois lois de la robotique}, formulées par l'écrivain de science-fiction Isaac Asimov, sont des règles auxquelles les robots qui apparaissent dans ses romans doivent obéir. Elles apparaissent pour la première fois dans sa nouvelle \emph{Liar!} dans le numéro de Mai de la revue \emph{Astounding Science Fiction}."
3,pop,C-3PO dans \emph{Star Wars},1977,http://images.computerhistory.org/timeline/timeline_ai.robotics_1977.starwars1.jpg,Image from the Computer History Museum timeline,C-3PO ou Z-6PO (en version française) est un  \og{}droïde de protocole\fg{}  de la saga \emph{Star Wars}. C'est un droïde protocolaire de forme humanoïde particulièrement loquace. Il apparaît pour la première fois dans \og{}La guerre des étoiles\fg{} (\emph{Star Wars}) sorti en salles en 1977.
4,man,Naissance d'Alan Turing,1912,http://images.computerhistory.org/timeline/timeline_popularculture_1954.turing.jpg,Image from the Computer History Museum timeline,"Alan Mathison Turing, né le 23 juin 1912 à Londres et mort le 7 juin 1954 à Wilmslow, est un mathématicien et cryptologue britannique, auteur de travaux qui fondent scientifiquement l'informatique, dont  son remarquable article de 1936, \emph{On Computable Numbers, with an Application to the Entscheidungsproblem}."
5,pop,Un ordinateur à la Maison Blanche,1978,http://images.computerhistory.org/timeline/timeline_popularculture_1978.alto.jpg,Image from the Computer History Museum timeline,"Bien que le gouvernement américain ait financé de nombreux projets d'informatique dès les années 40, ce n'est que sous l'administration Carter que des machines (Hewlett-Packard HP300 et ses terminaux d'accès ainsi qu'un Xerox Alto pour le bureau ovale) sont installées."
6,pop,Terme \og{}Cyberspace\fg{},1988,http://images.computerhistory.org/timeline/timeline_popularculture_1984.gibson.jpg,Image from the Computer History Museum timeline,"Dans son roman Neuromancer, William Gibson invente le terme cyberspace et le courant de science-fiction cyberpunk, qui décrit un univers futuriste sombre rempli de machines intelligentes et de virus."
7,pop,Deep Blue bat Garry Kasparov,1997,http://images.computerhistory.org/timeline/timeline_popularculture_1997.kasparov.jpg,Image from the Computer History Museum timeline,"Créer un programme capable de battre un champion international des échecs est un rève de l'intelligence artificielle. Lors de la deuxième rencontre entre Garry Kasparov et le super calculateur Deep Blue d'IBM, la machine a gagné."
8,game,Sortie du jeu Pong,1972,http://images.computerhistory.org/timeline/timeline_graphics.games_1972.pong.jpg,Image from the Computer History Museum timeline,"Nolan Bushnell embauche le jeune ingénieur Al Alcorn pour réaliser un jeu de voitures. C'est en réalisant que le projet était trop ambitieux que Alcorn a réalisé Pong, qui révolutionnera l'industrie des machines de jeux et lancera l'ère des jeux vidéos."
9,game,Sortie du jeu Doom,1993,http://images.computerhistory.org/timeline/timeline_graphics.games_1993.Doom.jpg,Image from the Computer History Museum timeline,"Doom est un jeu vidéo de tir en vue à la première personne (en anglais \emph{first person shooter} ou FPS), développé et édité par la société id Software et publié le 10 décembre 1993. Signe de son influence, les FPS sont aussi appellés \emph{Doom like}."
10,lang,Langage COBOL,1960,http://images.computerhistory.org/timeline/timeline_sw.languages_1960.cobol.jpg,Image from the Computer History Museum timeline,COBOL est un langage de programmation créé en 1959 (officiellement le 18 septembre 1959). Son nom est l'acronyme de Common Business Oriented Language qui révèle sa vocation originelle : être un langage commun pour la programmation d'applications de gestion.
11,lang,La table ASCII,1963,http://images.computerhistory.org/timeline/timeline_sw.languages_1963.ascii.jpg,Image from the Computer History Museum timeline,"L'\emphAmerican Standard Code for Information Interchange} (Code américain normalisé pour l'échange d'information), plus connu sous l'acronyme ASCII. C'est la norme de codage de caractères la plus influente à ce jour. ASCII définit 128 codes à 7 bits, comprenant 95 caractères imprimables.
"
12,soft,MS-DOS livré avec IBM PC,1981,http://images.computerhistory.org/timeline/timeline_sw.languages_1981.msdos.jpg,Image from the Computer History Museum timeline,"MS-DOS (abréviation de Microsoft Disk Operating System) est le système d'exploitation de type DOS développé par Microsoft pour l'IBM PC d'abord, puis pour les compatibles PC. Il s'agit d'un système fonctionnant en mode réel, monotâche et mono-utilisateur, et équipé par défaut d'une interface en ligne de commande."
13,soft,Sortie de MS Windows NT,1993,http://images.computerhistory.org/timeline/timeline_sw.languages_1993.windowsnt.jpg,Image from the Computer History Museum timeline,"Windows NT (\og{} New technology \fg{} ou \og{} nouvelle technologie \fg{}) désigne la série de systèmes d'exploitation multitâche préemptif, multi-utilisateur, multiprocesseur, créés par Microsoft et ne reposant pas sur le système historique MS-DOS de Microsoft, contrairement à Windows 1.0, 2, 3.x, 95, 98 et Me."
14,hard,Apple sort le Macintosh,1984,http://images.computerhistory.org/timeline/timeline_computers_1984.applemacintosh.jpg,Image from the Computer History Museum timeline,Apple présente le Macintosh avec une publicité TV pendant le Super Bowl 1984 réalisée par Ridley Scott et inspirée par le roman de George Orwell 1984. le Macintosh est le premier succès d'un ordinateur avec souris. Son prix d'achat était alors de 2.500$
